,city,state
0, Jamshedpur, Jharkhand
1, Jhajjar, Haryana
2, Mumbai, Maharashtra
3, Navi Mumbai, Maharashtra
4, Itanagar, Arunachal Pradesh
5, Gurgaon, Haryana
6, Mohali, Punjab
7, Guntur, Andhra Pradesh
8, Ahmedabad, Gujarat
9, Thane, Maharashtra
10, Pune, Maharashtra
11, New Delhi, Delhi
12, No 3 Kalyani Nagar Pune, Maharashtra
13, Secunderabad, Telangana
14, Lucknow, Uttar Pradesh
15, Delhi, Delhi
16, Chennai, Tamil Nadu
17, Gram Panchayth Hyderabad, Telangana
18, Ghaziabad, Uttar Pradesh
19, Bangalore, Karnataka
20, Guwahati, Assam
21, Dhanbad, Jharkhand
22, Muktsar, Punjab
23, Socorro, Goa
24, Andheri (East) Mumbai, Maharashtra
25, Aurangabad, Maharashtra
26, Kota, Rajasthan
27, Jaipur, Rajasthan
28, K V Rangareddy, Telangana
29, Muzaffarnagar, Uttar Pradesh
30, Burdwan, West Bengal
31, Ludhiana, Punjab
32, Noida, Uttar Pradesh
33, Agra, Uttar Pradesh
34, Shahjahanpur, Uttar Pradesh
35, Dist Raigad Panvel, Maharashtra
36, Dehradun, Uttarakhand
37, Hyderabad, Telangana
38, Godda, Jharkhand
39, Rewari (Haryana), Haryana
40, Nellore, Andhra Pradesh
41, Adipur, Gujarat
42, Dubai, UAE
43, Allahabad, Uttar Pradesh
44, Bathinda, Punjab
45, Nashik, Maharashtra
46, Jammu, Jammu & Kashmir
47, Jabalpur, Madhya Pradesh
48, Kashipur, Uttarakhand
49, Etah, Uttar Pradesh
50, Kolkata, West Bengal
51, Vadodara, Gujarat
52, Tirupur, Tamil Nadu
53, Surat, Gujarat
54, Nago Thane, Maharashtra
55, Karur Dt, Tamil Nadu
56, Chittoor, Andhra Pradesh
57, Indore, Madhya Pradesh
58, Off Cubbon Road Bangalore, Karnataka
59, Pimpali, Maharashtra
60, Pump Hinjewadi Pune, Maharashtra
61, Kanjurmarg East, Maharashtra
62, South 24 Parganas, West Bengal
63, Mirabhayander Thane Mira Road, Maharashtra
64, Saharanpur, Uttar Pradesh
65, Chandigarh, Chandigarh
66, Complex Gurgaon, Haryana
67, Park Phase-I Hinjewadi Pune, Maharashtra
68, Gulbarga, Karnataka
69, Kanpur, Uttar Pradesh
70, Visakhapatnam, Andhra Pradesh
71, Hisar, Haryana
72, Fort Mumbai, Maharashtra
73, Pathankot, Punjab
74, Sundargarh, Odisha
75, Margao, Goa
76, Dhule, Maharashtra
77, Bangalore North, Karnataka
78, Zirakpur, Punjab
79, Suryapet, Telangana
80, Bhiwandi, Maharashtra
81, Rajkot, Gujarat
82, Ambedkar Nagar, Uttar Pradesh
83, Puri, Odisha
84, Nagai Dt, Tamil Nadu
85, Kerala, Kerala
86, Ghinghartola Teh Bageshwar Dist, Uttarakhand
87, Rourkela, Odisha
88, Muppalla Guntur, Andhra Pradesh
89, NewDelhi, Delhi
90, Mira Road E, Maharashtra
91, Bhubaneswar, Odisha
92, Panchkula, Haryana
93, Faridabad, Haryana
94, Jalandhar, Punjab
95, West Mumbai, Maharashtra
96, Gwalior, Madhya Pradesh
97, Baghpat, Uttar Pradesh
98, Rajpura, Punjab
99, Ambala, Haryana
100, Zone Whitefield Bangalore, Karnataka
101, Gorakhpur, Uttar Pradesh
102, Baramati, Maharashtra
103, Yamunanagar, Haryana
104, Mangalore, Karnataka
105, Taluk Bangalore, Karnataka
106, Firozabad, Uttar Pradesh
107, Pondicherry, Puducherry
108, Raigad, Maharashtra
